id,min_batch_size,steps_per_epoch,epochs,accuracy,loss,NDGC@10,Hit@10
0,50,200,40,0.9547767639160156,0.12392779439687729,0.09821013234819288,0.1615
1,100,200,40,0.9643526673316956,0.09599747508764267,0.09332623336635269,0.1524
2,50,300,40,0.9614484906196594,0.10407959669828415,0.08143889741112817,0.1295
3,100,300,40,0.9661979079246521,0.08998994529247284,0.06849010835413157,0.1084
4,50,200,60,0.9629946351051331,0.09978683292865753,0.05465682509273721,0.0853
5,100,200,60,0.9664628505706787,0.08944041281938553,0.047702102576794664,0.0747
6,50,300,60,0.9617283344268799,0.1026100367307663,0.03104537086818098,0.0494
7,100,300,60,0.9670685529708862,0.08743178844451904,0.02844110707068706,0.0456
8,50,200,80,0.96115642786026,0.10330060124397278,0.017656402029622587,0.0296
9,100,200,80,0.9673329591751099,0.0870777890086174,0.01806739803859979,0.0295
10,50,300,80,0.9611675143241882,0.1043308898806572,0.0072923964959559825,0.0125
11,100,300,80,0.9683754444122314,0.08444228023290634,0.007135028700346284,0.013
